"County","Candidate","Party","Votes","Race"
"Jackson","Daniel COBBLE","WriteIn","0","US Senate"
"Jackson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Jackson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Jackson","Demetra WYSINGER","WriteIn","0","US Senate"
"Jefferson","Mitch McCONNELL","Republican Party","145547","US Senate"
"Jefferson","Amy McGRATH","Democratic Party","230750","US Senate"
"Jefferson","Brad BARRON","Libertarian Party","10763","US Senate"
"Jefferson","Paul John FRANGEDAKIS","WriteIn","14","US Senate"
"Jefferson","Daniel COBBLE","WriteIn","13","US Senate"
"Jefferson","Randall Lee TEEGARDEN","WriteIn","2","US Senate"
"Jefferson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Jefferson","Demetra WYSINGER","WriteIn","1","US Senate"
"Jessamine","Mitch McCONNELL","Republican Party","16488","US Senate"
"Jessamine","Amy McGRATH","Democratic Party","8861","US Senate"
"Jessamine","Brad BARRON","Libertarian Party","977","US Senate"
"Jessamine","Paul John FRANGEDAKIS","WriteIn","14","US Senate"
"Jessamine","Daniel COBBLE","WriteIn","0","US Senate"
"Jessamine","Randall Lee TEEGARDEN","WriteIn","4","US Senate"
"Jessamine","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Jessamine","Demetra WYSINGER","WriteIn","0","US Senate"
"Johnson","Mitch McCONNELL","Republican Party","7898","US Senate"
"Johnson","Amy McGRATH","Democratic Party","1868","US Senate"
"Johnson","Brad BARRON","Libertarian Party","386","US Senate"
"Johnson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Johnson","Daniel COBBLE","WriteIn","0","US Senate"
"Johnson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Johnson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Johnson","Demetra WYSINGER","WriteIn","0","US Senate"
"Kenton","Mitch McCONNELL","Republican Party","44700","US Senate"
"Kenton","Amy McGRATH","Democratic Party","34461","US Senate"
"Kenton","Brad BARRON","Libertarian Party","3030","US Senate"
"Kenton","Paul John FRANGEDAKIS","WriteIn","5","US Senate"
"Kenton","Daniel COBBLE","WriteIn","1","US Senate"
"Kenton","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Kenton","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Kenton","Demetra WYSINGER","WriteIn","0","US Senate"
"Knott","Mitch McCONNELL","Republican Party","4331","US Senate"
"Knott","Amy McGRATH","Democratic Party","1664","US Senate"
"Knott","Brad BARRON","Libertarian Party","206","US Senate"
"Knott","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Knott","Daniel COBBLE","WriteIn","0","US Senate"
"Knott","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Knott","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Knott","Demetra WYSINGER","WriteIn","0","US Senate"
"Knox","Mitch McCONNELL","Republican Party","10291","US Senate"
"Knox","Amy McGRATH","Democratic Party","2413","US Senate"
"Knox","Brad BARRON","Libertarian Party","536","US Senate"
"Knox","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Knox","Daniel COBBLE","WriteIn","0","US Senate"
"Knox","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Knox","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Knox","Demetra WYSINGER","WriteIn","0","US Senate"
"Larue","Mitch McCONNELL","Republican Party","5137","US Senate"
"Larue","Amy McGRATH","Democratic Party","1747","US Senate"
"Larue","Brad BARRON","Libertarian Party","407","US Senate"
"Larue","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Larue","Daniel COBBLE","WriteIn","0","US Senate"
"Larue","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Larue","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Larue","Demetra WYSINGER","WriteIn","0","US Senate"
"Laurel","Mitch McCONNELL","Republican Party","22040","US Senate"
"Laurel","Amy McGRATH","Democratic Party","4883","US Senate"
"Laurel","Brad BARRON","Libertarian Party","1217","US Senate"
"Laurel","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Laurel","Daniel COBBLE","WriteIn","0","US Senate"
"Laurel","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Laurel","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Laurel","Demetra WYSINGER","WriteIn","0","US Senate"
"Lawrence","Mitch McCONNELL","Republican Party","5089","US Senate"
"Lawrence","Amy McGRATH","Democratic Party","1520","US Senate"
"Lawrence","Brad BARRON","Libertarian Party","313","US Senate"
"Lawrence","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Lawrence","Daniel COBBLE","WriteIn","0","US Senate"
"Lawrence","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Lawrence","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Lawrence","Demetra WYSINGER","WriteIn","0","US Senate"
"Lee","Mitch McCONNELL","Republican Party","2114","US Senate"
"Lee","Amy McGRATH","Democratic Party","560","US Senate"
"Lee","Brad BARRON","Libertarian Party","109","US Senate"
"Lee","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Lee","Daniel COBBLE","WriteIn","0","US Senate"
"Lee","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Lee","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Lee","Demetra WYSINGER","WriteIn","0","US Senate"
"Leslie","Mitch McCONNELL","Republican Party","4061","US Senate"
"Leslie","Amy McGRATH","Democratic Party","562","US Senate"
"Leslie","Brad BARRON","Libertarian Party","169","US Senate"
"Leslie","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Leslie","Daniel COBBLE","WriteIn","0","US Senate"
"Leslie","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Leslie","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Leslie","Demetra WYSINGER","WriteIn","0","US Senate"
"Letcher","Mitch McCONNELL","Republican Party","6441","US Senate"
"Letcher","Amy McGRATH","Democratic Party","2245","US Senate"
"Letcher","Brad BARRON","Libertarian Party","391","US Senate"
"Letcher","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Letcher","Daniel COBBLE","WriteIn","0","US Senate"
"Letcher","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Letcher","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Letcher","Demetra WYSINGER","WriteIn","0","US Senate"
"Lewis","Mitch McCONNELL","Republican Party","4500","US Senate"
"Lewis","Amy McGRATH","Democratic Party","991","US Senate"
"Lewis","Brad BARRON","Libertarian Party","366","US Senate"
"Lewis","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Lewis","Daniel COBBLE","WriteIn","0","US Senate"
"Lewis","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Lewis","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Lewis","Demetra WYSINGER","WriteIn","0","US Senate"
"Lincoln","Mitch McCONNELL","Republican Party","7820","US Senate"
"Lincoln","Amy McGRATH","Democratic Party","2521","US Senate"
"Lincoln","Brad BARRON","Libertarian Party","552","US Senate"
"Lincoln","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Lincoln","Daniel COBBLE","WriteIn","0","US Senate"
"Lincoln","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Lincoln","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Lincoln","Demetra WYSINGER","WriteIn","0","US Senate"
"Livingston","Mitch McCONNELL","Republican Party","3701","US Senate"
"Livingston","Amy McGRATH","Democratic Party","1110","US Senate"
"Livingston","Brad BARRON","Libertarian Party","186","US Senate"
"Livingston","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Livingston","Daniel COBBLE","WriteIn","0","US Senate"
"Livingston","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Livingston","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Livingston","Demetra WYSINGER","WriteIn","0","US Senate"
"Logan","Mitch McCONNELL","Republican Party","8180","US Senate"
"Logan","Amy McGRATH","Democratic Party","3503","US Senate"
"Logan","Brad BARRON","Libertarian Party","640","US Senate"
"Logan","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Logan","Daniel COBBLE","WriteIn","0","US Senate"
"Logan","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Logan","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Logan","Demetra WYSINGER","WriteIn","0","US Senate"
"Lyon","Mitch McCONNELL","Republican Party","2884","US Senate"
"Lyon","Amy McGRATH","Democratic Party","1204","US Senate"
"Lyon","Brad BARRON","Libertarian Party","141","US Senate"
"Lyon","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Lyon","Daniel COBBLE","WriteIn","0","US Senate"
"Lyon","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Lyon","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Lyon","Demetra WYSINGER","WriteIn","0","US Senate"
"Madison","Mitch McCONNELL","Republican Party","26069","US Senate"
"Madison","Amy McGRATH","Democratic Party","16271","US Senate"
"Madison","Brad BARRON","Libertarian Party","1683","US Senate"
"Madison","Paul John FRANGEDAKIS","WriteIn","2","US Senate"
"Madison","Daniel COBBLE","WriteIn","1","US Senate"
"Madison","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Madison","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Madison","Demetra WYSINGER","WriteIn","0","US Senate"
"Magoffin","Mitch McCONNELL","Republican Party","3857","US Senate"
"Magoffin","Amy McGRATH","Democratic Party","1393","US Senate"
"Magoffin","Brad BARRON","Libertarian Party","177","US Senate"
"Magoffin","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Magoffin","Daniel COBBLE","WriteIn","0","US Senate"
"Magoffin","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Magoffin","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Magoffin","Demetra WYSINGER","WriteIn","0","US Senate"
"Marion","Mitch McCONNELL","Republican Party","5274","US Senate"
"Marion","Amy McGRATH","Democratic Party","3144","US Senate"
"Marion","Brad BARRON","Libertarian Party","474","US Senate"
"Marion","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Marion","Daniel COBBLE","WriteIn","0","US Senate"
"Marion","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Marion","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Marion","Demetra WYSINGER","WriteIn","0","US Senate"
"Marshall","Mitch McCONNELL","Republican Party","12384","US Senate"
"Marshall","Amy McGRATH","Democratic Party","4532","US Senate"
"Marshall","Brad BARRON","Libertarian Party","691","US Senate"
"Marshall","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Marshall","Daniel COBBLE","WriteIn","0","US Senate"
"Marshall","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Marshall","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Marshall","Demetra WYSINGER","WriteIn","0","US Senate"
"Martin","Mitch McCONNELL","Republican Party","3348","US Senate"
"Martin","Amy McGRATH","Democratic Party","497","US Senate"
"Martin","Brad BARRON","Libertarian Party","80","US Senate"
"Martin","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Martin","Daniel COBBLE","WriteIn","0","US Senate"
"Martin","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Martin","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Martin","Demetra WYSINGER","WriteIn","0","US Senate"
"Mason","Mitch McCONNELL","Republican Party","4999","US Senate"
"Mason","Amy McGRATH","Democratic Party","2601","US Senate"
"Mason","Brad BARRON","Libertarian Party","329","US Senate"
"Mason","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Mason","Daniel COBBLE","WriteIn","0","US Senate"
"Mason","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Mason","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Mason","Demetra WYSINGER","WriteIn","0","US Senate"
"McCracken","Mitch McCONNELL","Republican Party","20883","US Senate"
"McCracken","Amy McGRATH","Democratic Party","11627","US Senate"
"McCracken","Brad BARRON","Libertarian Party","1051","US Senate"
"McCracken","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"McCracken","Daniel COBBLE","WriteIn","0","US Senate"
"McCracken","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"McCracken","Harold H FITZPATRICK","WriteIn","0","US Senate"
"McCracken","Demetra WYSINGER","WriteIn","0","US Senate"
"McCreary","Mitch McCONNELL","Republican Party","5179","US Senate"
"McCreary","Amy McGRATH","Democratic Party","889","US Senate"
"McCreary","Brad BARRON","Libertarian Party","322","US Senate"
"McCreary","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"McCreary","Daniel COBBLE","WriteIn","0","US Senate"
"McCreary","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"McCreary","Harold H FITZPATRICK","WriteIn","0","US Senate"
"McCreary","Demetra WYSINGER","WriteIn","0","US Senate"
"McLean","Mitch McCONNELL","Republican Party","3211","US Senate"
"McLean","Amy McGRATH","Democratic Party","1241","US Senate"
"McLean","Brad BARRON","Libertarian Party","323","US Senate"
"McLean","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"McLean","Daniel COBBLE","WriteIn","0","US Senate"
"McLean","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"McLean","Harold H FITZPATRICK","WriteIn","0","US Senate"
"McLean","Demetra WYSINGER","WriteIn","0","US Senate"
"Meade","Mitch McCONNELL","Republican Party","9070","US Senate"
"Meade","Amy McGRATH","Democratic Party","4225","US Senate"
"Meade","Brad BARRON","Libertarian Party","771","US Senate"
"Meade","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Meade","Daniel COBBLE","WriteIn","0","US Senate"
"Meade","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Meade","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Meade","Demetra WYSINGER","WriteIn","0","US Senate"
"Menifee","Mitch McCONNELL","Republican Party","2071","US Senate"
"Menifee","Amy McGRATH","Democratic Party","882","US Senate"
"Menifee","Brad BARRON","Libertarian Party","123","US Senate"
"Menifee","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Menifee","Daniel COBBLE","WriteIn","0","US Senate"
"Menifee","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Menifee","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Menifee","Demetra WYSINGER","WriteIn","0","US Senate"
"Mercer","Mitch McCONNELL","Republican Party","7956","US Senate"
"Mercer","Amy McGRATH","Democratic Party","3247","US Senate"
"Mercer","Brad BARRON","Libertarian Party","501","US Senate"
"Mercer","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Mercer","Daniel COBBLE","WriteIn","0","US Senate"
"Mercer","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Mercer","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Mercer","Demetra WYSINGER","WriteIn","0","US Senate"
"Metcalfe","Mitch McCONNELL","Republican Party","3538","US Senate"
"Metcalfe","Amy McGRATH","Democratic Party","1129","US Senate"
"Metcalfe","Brad BARRON","Libertarian Party","302","US Senate"
"Metcalfe","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Metcalfe","Daniel COBBLE","WriteIn","0","US Senate"
"Metcalfe","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Metcalfe","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Metcalfe","Demetra WYSINGER","WriteIn","0","US Senate"
"Monroe","Mitch McCONNELL","Republican Party","4320","US Senate"
"Monroe","Amy McGRATH","Democratic Party","763","US Senate"
"Monroe","Brad BARRON","Libertarian Party","191","US Senate"
"Monroe","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Monroe","Daniel COBBLE","WriteIn","0","US Senate"
"Monroe","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Monroe","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Monroe","Demetra WYSINGER","WriteIn","0","US Senate"
"Montgomery","Mitch McCONNELL","Republican Party","8345","US Senate"
"Montgomery","Amy McGRATH","Democratic Party","3983","US Senate"
"Montgomery","Brad BARRON","Libertarian Party","488","US Senate"
"Montgomery","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Montgomery","Daniel COBBLE","WriteIn","0","US Senate"
"Montgomery","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Montgomery","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Montgomery","Demetra WYSINGER","WriteIn","0","US Senate"
"Morgan","Mitch McCONNELL","Republican Party","3918","US Senate"
"Morgan","Amy McGRATH","Democratic Party","1378","US Senate"
"Morgan","Brad BARRON","Libertarian Party","229","US Senate"
"Morgan","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Morgan","Daniel COBBLE","WriteIn","0","US Senate"
"Morgan","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Morgan","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Morgan","Demetra WYSINGER","WriteIn","0","US Senate"
"Muhlenberg","Mitch McCONNELL","Republican Party","9222","US Senate"
"Muhlenberg","Amy McGRATH","Democratic Party","4175","US Senate"
"Muhlenberg","Brad BARRON","Libertarian Party","763","US Senate"
"Muhlenberg","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Muhlenberg","Daniel COBBLE","WriteIn","0","US Senate"
"Muhlenberg","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Muhlenberg","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Muhlenberg","Demetra WYSINGER","WriteIn","0","US Senate"
"Nelson","Mitch McCONNELL","Republican Party","14219","US Senate"
"Nelson","Amy McGRATH","Democratic Party","7943","US Senate"
"Nelson","Brad BARRON","Libertarian Party","1042","US Senate"
"Nelson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Nelson","Daniel COBBLE","WriteIn","0","US Senate"
"Nelson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Nelson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Nelson","Demetra WYSINGER","WriteIn","0","US Senate"
"Nicholas","Mitch McCONNELL","Republican Party","2151","US Senate"
"Nicholas","Amy McGRATH","Democratic Party","1088","US Senate"
"Nicholas","Brad BARRON","Libertarian Party","149","US Senate"
"Nicholas","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Nicholas","Daniel COBBLE","WriteIn","0","US Senate"
"Nicholas","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Nicholas","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Nicholas","Demetra WYSINGER","WriteIn","0","US Senate"
"Ohio","Mitch McCONNELL","Republican Party","7619","US Senate"
"Ohio","Amy McGRATH","Democratic Party","2765","US Senate"
"Ohio","Brad BARRON","Libertarian Party","694","US Senate"
"Ohio","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Ohio","Daniel COBBLE","WriteIn","0","US Senate"
"Ohio","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Ohio","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Ohio","Demetra WYSINGER","WriteIn","0","US Senate"
"Oldham","Mitch McCONNELL","Republican Party","22025","US Senate"
"Oldham","Amy McGRATH","Democratic Party","14715","US Senate"
"Oldham","Brad BARRON","Libertarian Party","1330","US Senate"
"Oldham","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Oldham","Daniel COBBLE","WriteIn","0","US Senate"
"Oldham","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Oldham","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Oldham","Demetra WYSINGER","WriteIn","0","US Senate"
"Owen","Mitch McCONNELL","Republican Party","3958","US Senate"
"Owen","Amy McGRATH","Democratic Party","1235","US Senate"
"Owen","Brad BARRON","Libertarian Party","253","US Senate"
"Owen","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Owen","Daniel COBBLE","WriteIn","0","US Senate"
"Owen","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Owen","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Owen","Demetra WYSINGER","WriteIn","0","US Senate"
"Owsley","Mitch McCONNELL","Republican Party","1517","US Senate"
"Owsley","Amy McGRATH","Democratic Party","280","US Senate"
"Owsley","Brad BARRON","Libertarian Party","80","US Senate"
"Owsley","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Owsley","Daniel COBBLE","WriteIn","0","US Senate"
"Owsley","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Owsley","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Owsley","Demetra WYSINGER","WriteIn","0","US Senate"
"Pendleton","Mitch McCONNELL","Republican Party","4993","US Senate"
"Pendleton","Amy McGRATH","Democratic Party","1570","US Senate"
"Pendleton","Brad BARRON","Libertarian Party","350","US Senate"
"Pendleton","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Pendleton","Daniel COBBLE","WriteIn","0","US Senate"
"Pendleton","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Pendleton","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Pendleton","Demetra WYSINGER","WriteIn","0","US Senate"
"Perry","Mitch McCONNELL","Republican Party","7390","US Senate"
"Perry","Amy McGRATH","Democratic Party","2788","US Senate"
"Perry","Brad BARRON","Libertarian Party","375","US Senate"
"Perry","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Perry","Daniel COBBLE","WriteIn","0","US Senate"
"Perry","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Perry","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Perry","Demetra WYSINGER","WriteIn","0","US Senate"
"Pike","Mitch McCONNELL","Republican Party","18366","US Senate"
"Pike","Amy McGRATH","Democratic Party","6017","US Senate"
"Pike","Brad BARRON","Libertarian Party","883","US Senate"
"Pike","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Pike","Daniel COBBLE","WriteIn","0","US Senate"
"Pike","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Pike","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Pike","Demetra WYSINGER","WriteIn","0","US Senate"
"Powell","Mitch McCONNELL","Republican Party","3642","US Senate"
"Powell","Amy McGRATH","Democratic Party","1591","US Senate"
"Powell","Brad BARRON","Libertarian Party","260","US Senate"
"Powell","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Powell","Daniel COBBLE","WriteIn","0","US Senate"
"Powell","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Powell","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Powell","Demetra WYSINGER","WriteIn","0","US Senate"
"Pulaski","Mitch McCONNELL","Republican Party","23900","US Senate"
"Pulaski","Amy McGRATH","Democratic Party","6120","US Senate"
"Pulaski","Brad BARRON","Libertarian Party","1496","US Senate"
"Pulaski","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Pulaski","Daniel COBBLE","WriteIn","0","US Senate"
"Pulaski","Randall Lee TEEGARDEN","WriteIn","1","US Senate"
"Pulaski","Harold H FITZPATRICK","WriteIn","1","US Senate"
"Pulaski","Demetra WYSINGER","WriteIn","0","US Senate"
"Robertson","Mitch McCONNELL","Republican Party","796","US Senate"
"Robertson","Amy McGRATH","Democratic Party","288","US Senate"
"Robertson","Brad BARRON","Libertarian Party","55","US Senate"
"Robertson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Robertson","Daniel COBBLE","WriteIn","0","US Senate"
"Robertson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Robertson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Robertson","Demetra WYSINGER","WriteIn","0","US Senate"
"Rockcastle","Mitch McCONNELL","Republican Party","6194","US Senate"
"Rockcastle","Amy McGRATH","Democratic Party","1225","US Senate"
"Rockcastle","Brad BARRON","Libertarian Party","336","US Senate"
"Rockcastle","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Rockcastle","Daniel COBBLE","WriteIn","0","US Senate"
"Rockcastle","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Rockcastle","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Rockcastle","Demetra WYSINGER","WriteIn","0","US Senate"
"Rowan","Mitch McCONNELL","Republican Party","5403","US Senate"
"Rowan","Amy McGRATH","Democratic Party","4175","US Senate"
"Rowan","Brad BARRON","Libertarian Party","464","US Senate"
"Rowan","Paul John FRANGEDAKIS","WriteIn","1","US Senate"
"Rowan","Daniel COBBLE","WriteIn","0","US Senate"
"Rowan","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Rowan","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Rowan","Demetra WYSINGER","WriteIn","0","US Senate"
"Russell","Mitch McCONNELL","Republican Party","6919","US Senate"
"Russell","Amy McGRATH","Democratic Party","1552","US Senate"
"Russell","Brad BARRON","Libertarian Party","461","US Senate"
"Russell","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Russell","Daniel COBBLE","WriteIn","0","US Senate"
"Russell","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Russell","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Russell","Demetra WYSINGER","WriteIn","0","US Senate"
"Scott","Mitch McCONNELL","Republican Party","16408","US Senate"
"Scott","Amy McGRATH","Democratic Party","11251","US Senate"
"Scott","Brad BARRON","Libertarian Party","1314","US Senate"
"Scott","Paul John FRANGEDAKIS","WriteIn","4","US Senate"
"Scott","Daniel COBBLE","WriteIn","0","US Senate"
"Scott","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Scott","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Scott","Demetra WYSINGER","WriteIn","0","US Senate"
"Shelby","Mitch McCONNELL","Republican Party","14113","US Senate"
"Shelby","Amy McGRATH","Democratic Party","8332","US Senate"
"Shelby","Brad BARRON","Libertarian Party","1149","US Senate"
"Shelby","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Shelby","Daniel COBBLE","WriteIn","0","US Senate"
"Shelby","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Shelby","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Shelby","Demetra WYSINGER","WriteIn","0","US Senate"
"Simpson","Mitch McCONNELL","Republican Party","5302","US Senate"
"Simpson","Amy McGRATH","Democratic Party","2976","US Senate"
"Simpson","Brad BARRON","Libertarian Party","421","US Senate"
"Simpson","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Simpson","Daniel COBBLE","WriteIn","0","US Senate"
"Simpson","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Simpson","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Simpson","Demetra WYSINGER","WriteIn","0","US Senate"
"Spencer","Mitch McCONNELL","Republican Party","8026","US Senate"
"Spencer","Amy McGRATH","Democratic Party","2827","US Senate"
"Spencer","Brad BARRON","Libertarian Party","554","US Senate"
"Spencer","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Spencer","Daniel COBBLE","WriteIn","0","US Senate"
"Spencer","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Spencer","Harold H FITZPATRICK","WriteIn","0","US Senate"
"Spencer","Demetra WYSINGER","WriteIn","0","US Senate"
"Taylor","Mitch McCONNELL","Republican Party","8637","US Senate"
"Taylor","Amy McGRATH","Democratic Party","3279","US Senate"
"Taylor","Brad BARRON","Libertarian Party","582","US Senate"
"Taylor","Paul John FRANGEDAKIS","WriteIn","0","US Senate"
"Taylor","Daniel COBBLE","WriteIn","0","US Senate"
"Taylor","Randall Lee TEEGARDEN","WriteIn","0","US Senate"
"Taylor","Harold H FITZPATRICK","WriteIn","0","US Senate"
